Column0,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,WeightedSum
0.3113,0.415,0.6533,0.5566,0.5093,0.2487,0.2079,0.09283,0.2384,0.2151,12.414
0.5063,0.7285,0.867,0.4985,0.2336,0.748,0.4363,0.2247,0.1736,0.3093,17.0
0.2942,0.2454,0.2358,0.5063,0.05225,0.4753,0.8,0.1406,0.1009,0.7183,17.88
0.5054,0.8306,0.978,0.891,0.813,0.7876,0.5054,0.6294,0.3743,0.01666,23.23
0.1562,0.3606,0.6475,0.743,0.635,0.7,0.9873,0.005257,0.899,0.6787,29.19
0.05527,0.05853,0.6753,0.769,0.617,0.4192,0.8306,0.3003,0.009224,0.4673,19.64
0.2615,0.292,0.26,0.8306,0.1725,0.6377,0.03882,0.417,0.681,0.9917,24.7
0.2725,0.626,0.06137,0.01319,0.8613,0.981,0.787,0.952,0.3972,0.4504,27.75
0.4036,0.09436,0.4556,0.0819,0.29,0.837,0.7217,0.299,0.6167,0.9346,26.36
0.626,0.4685,0.72,0.07654,0.5293,0.522,0.4963,0.637,0.6313,0.9673,28.06
0.6836,0.4739,0.727,0.527,0.434,0.001775,0.509,0.883,0.2404,0.00681,16.47
0.4167,0.626,0.39,0.4402,0.933,0.464,0.11633,0.8843,0.11194,0.5566,21.58
0.6177,0.8525,0.61,0.4207,0.8403,0.83,0.5337,0.3235,0.9634,0.557,29.03
0.6245,0.5513,0.7314,0.514,0.95,0.791,0.2944,0.9126,0.3967,0.1565,24.05
0.4192,0.7334,0.611,0.7466,0.74,0.3572,0.536,0.589,0.7974,0.7773,29.66
0.799,0.2778,0.6616,0.0568,0.7144,0.905,0.587,0.962,0.6577,0.14,25.92
0.3945,0.002287,0.951,0.007107,0.010574,0.6387,0.4878,0.0627,0.866,0.2329,17.55
0.454,0.0604,0.541,0.638,0.5513,0.2106,0.806,0.03128,0.1394,0.3284,15.44
0.0765,0.1637,0.967,0.3586,0.4314,0.8047,0.0657,0.6416,0.1043,0.1078,15.61
0.8076,0.1724,0.487,0.5874,0.2747,0.664,0.3213,0.2087,0.02704,0.7393,17.6
0.2141,0.685,0.8696,0.3389,0.45,0.2277,0.232,0.4297,0.361,0.555,18.67
0.4233,0.3687,0.3357,0.3306,0.3743,0.0859,0.0322,0.389,0.2603,0.04617,9.375
0.02452,0.0833,0.004612,0.5566,0.733,0.817,0.432,0.1037,0.4316,0.08966,16.36
0.1044,0.7837,0.4534,0.4966,0.919,0.5986,0.2776,0.882,0.2433,0.4683,23.84
0.7505,0.9316,0.6143,0.928,0.7285,0.3457,0.2559,0.4558,0.5835,0.2744,21.45
0.6045,0.03049,0.2886,0.141,0.5957,0.2039,0.9478,0.6904,0.4138,0.09674,19.14
0.01894,0.0378,0.1813,0.836,0.0979,0.1729,0.1106,0.548,0.1879,0.6895,16.38
0.9595,0.8877,0.09235,0.7466,0.792,0.4946,0.5522,0.894,0.941,0.566,31.14
0.4175,0.368,0.1516,0.6865,0.07324,0.813,0.7476,0.2314,0.458,0.664,22.83
0.8037,0.01233,0.0922,0.1158,0.358,0.316,0.751,0.5337,0.0385,0.6924,18.34
0.8394,0.597,0.7207,0.4175,0.7793,0.848,0.9404,0.97,0.1332,0.125,25.28
0.578,0.5405,0.1886,0.5703,0.7007,0.9062,0.2847,0.1184,0.0706,0.10297,13.99
0.851,0.7427,0.4675,0.6577,0.501,0.7583,0.005474,0.3518,0.7905,0.4707,22.5
0.416,0.1652,0.03766,0.232,0.0703,0.4363,0.814,0.7915,0.9175,0.1501,22.52
0.642,0.649,0.036,0.792,0.9536,0.9287,0.8057,0.09125,0.4307,0.4578,24.6
0.746,0.2297,0.5464,0.2808,0.8496,0.0938,0.933,0.4607,0.6616,0.6504,26.0
0.7173,0.92,0.2141,0.3235,0.1654,0.536,0.0736,0.34,0.2289,0.278,12.82
0.642,0.586,0.5234,0.671,0.6084,0.7197,0.7847,0.9863,0.2742,0.54,28.34
0.1576,0.671,0.6626,0.6167,0.2637,0.3923,0.7603,0.663,0.04532,0.7935,23.56
0.7646,0.4783,0.3188,0.5527,0.4788,0.5747,0.6094,0.1267,0.3032,0.72,21.02
0.376,0.0239,0.343,0.951,0.827,0.6855,0.3076,0.5474,0.315,0.7114,24.9
0.7573,0.3528,0.1497,0.359,0.2379,0.2607,0.1215,0.5596,0.2238,0.9976,19.39
0.6123,0.3062,0.2388,0.324,0.863,0.712,0.582,0.5996,0.01605,0.2517,18.84
0.5063,0.8335,0.03027,0.3271,0.817,0.0853,0.7207,0.974,0.769,0.06805,23.48
0.7896,0.605,0.6357,0.5874,0.3467,0.6426,0.803,0.3245,0.1509,0.419,20.31
0.81,0.6167,0.7217,0.898,0.4053,0.2253,0.2634,0.2944,0.0797,0.04507,12.19
0.9023,0.7183,0.9624,0.3489,0.2098,0.799,0.07697,0.05176,0.1365,0.8164,17.78
0.412,0.652,0.365,0.63,0.305,0.5244,0.5425,0.6206,0.006214,0.1309,15.94
0.3137,0.4006,0.3105,0.8267,0.1017,0.608,0.874,0.211,0.0626,0.488,18.56
0.4,0.694,0.712,0.0803,0.7026,0.3057,0.508,0.4956,0.766,0.9297,27.7
0.639,0.1138,0.4382,0.2883,0.8584,0.687,0.7285,0.5728,0.8916,0.967,32.94
0.3442,0.6025,0.9893,0.0998,0.554,0.299,0.218,0.7163,0.2114,0.63,20.28
0.04797,0.874,0.3208,0.447,0.574,0.2014,0.723,0.6016,0.652,0.968,28.64
0.51,0.8936,0.2391,0.972,0.3481,0.444,0.3816,0.613,0.263,0.1521,17.95
0.865,0.005035,0.872,0.291,0.8257,0.11,0.4033,0.892,0.3638,0.147,19.38
0.767,0.8047,0.912,0.3079,0.3936,0.3992,0.458,0.07056,0.01973,0.1788,12.13
0.5625,0.1785,0.3684,0.09106,0.4329,0.6313,0.83,0.723,0.8315,0.504,27.31
0.4053,0.786,0.0231,0.6523,0.69,0.7534,0.2537,0.584,0.3228,0.4307,21.39
0.6226,0.10126,0.172,0.3992,0.5596,0.01019,0.0565,0.7837,0.4758,0.5684,18.67
0.4412,0.3376,0.566,0.3813,0.2563,0.3704,0.7856,0.8555,0.1136,0.0385,17.45
0.4253,0.2554,0.1564,0.9443,0.3872,0.1062,0.0343,0.2188,0.4875,0.1572,12.53
0.989,0.1737,0.2803,0.1477,0.3018,0.971,0.5938,0.2556,0.8105,0.1062,20.03
0.5693,0.6904,0.01511,0.6235,0.0733,0.5283,0.6274,0.669,0.576,0.75,25.33
0.4463,0.3115,0.893,0.9834,0.949,0.781,0.1029,0.97,0.964,0.564,32.94
0.8564,0.908,0.02025,0.2179,0.3398,0.944,0.547,0.4695,0.7876,0.343,23.64
0.4314,0.795,0.9067,0.2136,0.0948,0.0995,0.4158,0.0626,0.9097,0.4788,18.64
0.992,0.4646,0.8013,0.4907,0.05957,0.597,0.04657,0.3438,0.368,0.278,14.9
0.4192,0.4673,0.8647,0.518,0.1748,0.6733,0.3438,0.1407,0.04996,0.4077,14.94
0.835,0.1794,0.816,0.1236,0.8306,0.7974,0.259,0.3787,0.2479,0.2019,17.5
0.3892,0.7744,0.9214,0.04208,0.0691,0.7046,0.893,0.3257,0.835,0.915,29.1
0.396,0.1978,0.2969,0.4663,0.703,0.9053,0.3135,0.4888,0.351,0.415,21.38
0.08716,0.0338,0.05334,0.4446,0.11835,0.307,0.463,0.05423,0.0352,0.7773,13.914
0.5176,0.0548,0.367,0.248,0.618,0.2856,0.4153,0.1962,0.0753,0.1967,11.67
0.304,0.9966,0.277,0.8857,0.968,0.975,0.616,0.7363,0.575,0.1766,28.0
0.1709,0.3223,0.1147,0.3176,0.4287,0.03323,0.9097,0.771,0.429,0.1598,19.11
0.0857,0.865,0.312,0.544,0.84,0.669,0.2922,0.5522,0.9746,0.6567,29.16
0.6665,0.814,0.11945,0.515,0.844,0.7637,0.1614,0.897,0.3687,0.5,24.48
0.5957,0.0898,0.5107,0.969,0.1891,0.4094,0.8037,0.6177,0.542,0.01979,20.48
0.11914,0.721,0.8027,0.1566,0.0348,0.3298,0.7397,0.413,0.51,0.7915,23.11
0.6626,0.2773,0.85,0.862,0.5547,0.6973,0.2947,0.1842,0.2456,0.5093,19.88
0.4236,0.7935,0.2683,0.653,0.851,0.4856,0.1395,0.3474,0.8296,0.751,25.78
0.802,0.3762,0.5166,0.2231,0.0805,0.898,0.843,0.01071,0.743,0.2578,20.28
0.4436,0.3757,0.4937,0.4885,0.839,0.6836,0.8945,0.617,0.4202,0.829,30.11
0.03403,0.8125,0.3237,0.4575,0.4072,0.3684,0.4465,0.857,0.4736,0.524,23.48
0.4302,0.9976,0.667,0.3909,0.9775,0.446,0.4001,0.8765,0.2081,0.6543,25.73
0.4924,0.4524,0.0906,0.4854,0.9297,0.6895,0.754,0.1733,0.03812,0.1334,16.5
0.6333,0.8613,0.994,0.7915,0.417,0.345,0.04562,0.3735,0.918,0.4731,23.11
0.3215,0.2664,0.3418,0.7773,0.8145,0.1622,0.567,0.6177,0.4885,0.4631,23.16
0.04117,0.2029,0.665,0.904,0.1509,0.7725,0.9834,0.9355,0.4746,0.882,32.9
0.3464,0.588,0.01872,0.1984,0.3318,0.1727,0.1918,0.89,0.0002432,0.3296,13.76
0.438,0.636,0.7026,0.02309,0.03696,0.6206,0.305,0.00953,0.0323,0.3843,10.98
0.131,0.4607,0.2473,0.0611,0.2178,0.4832,0.1009,0.385,0.2695,0.756,16.69
0.842,0.5947,0.675,0.4194,0.9033,0.3174,0.7603,0.9443,0.05865,0.966,28.73
0.02805,0.414,0.1464,0.3562,0.8813,0.1973,0.8354,0.9478,0.4604,0.12463,22.73
0.923,0.1569,0.305,0.719,0.853,0.071,0.944,0.5464,0.4702,0.9546,28.53
0.739,0.3357,0.1415,0.6123,0.2617,0.01814,0.8164,0.2247,0.4502,0.03647,13.99
0.6587,0.915,0.7607,0.415,0.1782,0.6064,0.02316,0.5693,0.0943,0.3145,15.13
0.8477,0.559,0.0856,0.2399,0.2659,0.95,0.1764,0.3792,0.2412,0.1843,14.56
0.6226,0.2058,0.8364,0.722,0.743,0.415,0.1166,0.278,0.986,0.7476,26.36
0.9653,0.0446,0.6567,0.746,0.02525,0.2184,0.697,0.968,0.3235,0.59,23.64
0.6323,0.2573,0.3264,0.4358,0.773,0.978,0.5303,0.777,0.467,0.3245,25.47
0.9194,0.584,0.00964,0.1124,0.3997,0.03143,0.592,0.5713,0.994,0.2998,20.89
0.8154,0.1394,0.416,0.8477,0.8677,0.4973,0.1589,0.4158,0.01976,0.907,21.66
0.8887,0.0725,0.901,0.8667,0.6484,0.639,0.2993,0.1099,0.2544,0.1879,16.56
0.972,0.4412,0.3918,0.9243,0.2483,0.964,0.7563,0.766,0.7314,0.4084,29.23
0.3477,0.9688,0.755,0.897,0.6064,0.9326,0.0782,0.05948,0.9634,0.278,23.36
0.01709,0.3682,0.10944,0.982,0.9326,0.1342,0.05692,0.7573,0.4434,0.1923,18.86
0.838,0.254,0.684,0.8535,0.05652,0.702,0.769,0.581,0.3386,0.937,27.75
0.3718,0.336,0.7534,0.76,0.1838,0.741,0.8423,0.3865,0.357,0.8027,26.4
0.1145,0.04398,0.03796,0.5127,0.10767,0.2856,0.576,0.2744,0.7217,0.6343,20.38
0.693,0.8965,0.149,0.3604,0.6787,0.8457,0.3071,0.4883,0.3152,0.8496,24.64
0.6885,0.4077,0.3047,0.7173,0.246,0.01581,0.6187,0.638,0.6396,0.775,24.5
0.5117,0.159,0.655,0.2698,0.1943,0.03537,0.8696,0.3533,0.5664,0.434,19.36
0.5527,0.671,0.4973,0.974,0.01744,0.3188,0.6206,0.4424,0.1001,0.3875,17.36
0.6694,0.2412,0.696,0.1487,0.4668,0.1558,0.799,0.804,0.03061,0.8247,22.81
0.2267,0.66,0.8506,0.02893,0.7065,0.72,0.1859,0.1881,0.2035,0.9155,21.17
0.1992,0.69,0.331,0.9907,0.4531,0.4807,0.3347,0.0932,0.04315,0.4924,15.98
0.1603,0.734,0.2118,0.88,0.5464,0.1938,0.52,0.989,0.9336,0.9937,33.4
0.7944,0.1804,0.04507,0.875,0.844,0.6484,0.768,0.257,0.7773,0.3884,25.64
0.3032,0.836,0.2898,0.0944,0.71,0.1879,0.5386,0.1225,0.3098,0.2922,14.67
0.384,0.8096,0.787,0.2457,0.795,0.568,0.06335,0.1674,0.6836,0.8193,23.53
0.7773,0.4436,0.985,0.611,0.3142,0.06744,0.3535,0.0146,0.9043,0.687,21.48
0.5454,0.653,0.3245,0.3135,0.005497,0.753,0.6553,0.5444,0.5127,0.666,23.88
0.771,0.284,0.3806,0.18,0.3064,0.2573,0.6523,0.8477,0.513,0.6094,23.53
0.3848,0.5864,0.1086,0.428,0.5684,0.09076,0.71,0.3298,0.412,0.03014,14.95
0.3413,0.0872,0.5747,0.6655,0.8623,0.7793,0.2678,0.77,0.949,0.8296,32.62
0.0532,0.0316,0.2876,0.05038,0.835,0.1165,0.9204,0.5557,0.4634,0.602,23.22
0.3193,0.4312,0.611,0.931,0.00631,0.9033,0.1957,0.3955,0.838,0.951,28.19
0.612,0.2507,0.6045,0.999,0.7617,0.4458,0.1349,0.3647,0.8267,0.1957,21.47
0.515,0.945,0.542,0.1217,0.34,0.9185,0.1962,0.02495,0.8223,0.779,23.28
0.359,0.859,0.8496,0.856,0.909,0.795,0.4114,0.6577,0.6914,0.845,32.94
0.3262,0.727,0.7495,0.719,0.02321,0.84,0.883,0.575,0.558,0.776,29.45
0.18,0.677,0.1473,1.0,0.767,0.962,0.699,0.4895,0.942,0.337,30.03
0.5728,0.212,0.0962,0.2001,0.8584,0.02103,0.3936,0.551,0.7207,0.1584,17.95
0.9976,0.6807,0.1659,0.9663,0.3135,0.02321,0.06573,0.4846,0.4297,0.388,16.0
0.4272,0.4597,0.312,0.8506,0.9917,0.3286,0.8794,0.9497,0.1398,0.0771,22.98
0.07135,0.9097,0.1387,0.7114,0.3376,0.806,0.4636,0.956,0.2003,0.73,26.34
0.6416,0.715,0.66,0.971,0.4663,0.08484,0.0955,0.3042,0.945,0.1223,18.6
0.2439,0.2224,0.1957,0.01595,0.3105,0.6885,0.417,0.8823,0.02725,0.536,19.06
0.1715,0.4438,0.0846,0.03677,0.972,0.1633,0.8823,0.6104,0.929,0.4045,26.06
0.9033,0.711,0.565,0.3655,0.1599,0.634,0.863,0.59,0.5005,0.9272,28.4
0.409,0.1348,0.4082,0.3188,0.3655,0.9287,0.2554,0.9653,0.187,0.8027,25.03
0.4763,0.445,0.492,0.2627,0.2225,0.5034,0.8906,0.9673,0.5605,0.02171,22.42
0.02632,0.013794,0.916,0.5024,0.428,0.982,0.6753,0.4917,0.853,0.2783,26.8
0.506,0.769,0.621,0.849,0.9956,0.794,0.1918,0.738,0.5566,0.174,24.84
0.548,0.458,0.767,0.3801,0.5547,0.1855,0.4817,0.7837,0.0387,0.5234,19.67
0.5264,0.8286,0.03412,0.3882,0.4597,0.628,0.0409,0.6357,0.8203,0.6074,23.77
0.03415,0.9565,0.4675,0.9165,0.1642,0.879,0.07104,0.4092,0.3777,0.3752,19.38
0.5654,0.511,0.9307,0.1919,0.4993,0.03903,0.274,0.527,0.3125,0.4858,17.34
0.08234,0.0469,0.293,0.2925,0.01578,0.739,0.5312,0.0839,0.2073,0.754,17.48
0.7144,0.2798,0.895,0.769,0.974,0.2744,0.802,0.461,0.3105,0.714,26.6
0.4333,0.5537,0.3093,0.5435,0.727,0.5684,0.89,0.614,0.581,0.239,24.98
0.2227,0.2025,0.134,0.2876,0.7656,0.2461,0.592,0.4768,0.386,0.464,19.78
0.3086,0.6436,0.8926,0.0964,0.9146,0.7065,0.576,0.8037,0.1528,0.2281,22.27
0.419,0.08154,0.5195,0.973,0.738,0.2181,0.2007,0.881,0.3887,0.3962,22.12
0.2369,0.6875,0.2969,0.1311,0.735,0.8467,0.4443,0.8833,0.647,0.8574,30.6
0.6226,0.009796,0.6875,0.1625,0.8105,0.6895,0.745,0.7637,0.951,0.965,34.66
0.02333,0.4614,0.985,0.7134,0.1037,0.644,0.642,0.9062,0.0864,0.733,25.69
0.626,0.08234,0.861,0.282,0.5537,0.3816,0.7334,0.1002,0.8164,0.312,21.22
0.7637,0.1586,0.2751,0.6343,0.04514,0.2385,0.8223,0.9126,0.8823,0.5903,27.67
0.3352,0.7363,0.5444,0.6494,0.5894,0.6235,0.923,0.693,0.592,0.5117,28.97
0.8965,0.9683,0.819,0.893,0.3672,0.5317,0.448,0.07806,0.004307,0.553,17.66
0.628,0.2249,0.9,0.955,0.1924,0.2001,0.9297,0.3093,0.4531,0.718,24.48
0.8696,0.1602,0.794,0.9673,0.7266,0.3982,0.8506,0.7817,0.12006,0.3557,24.28
0.643,0.8755,0.9956,0.5195,0.05817,0.6147,0.6426,0.5854,0.1957,0.595,22.61
0.7285,0.827,0.371,0.1987,0.408,0.9697,0.2008,0.501,0.428,0.648,22.61
0.745,0.6772,0.5903,0.2864,0.959,0.752,0.6226,0.6787,0.983,0.6143,32.2
0.611,0.4485,0.00662,0.7544,0.1908,0.3367,0.807,0.1581,0.6133,0.1952,17.78
0.8076,0.63,0.9204,0.0602,0.4229,0.9185,0.732,0.5996,0.4087,0.617,26.34
0.73,0.7017,0.175,0.991,0.3657,0.606,0.5444,0.635,0.6196,0.7153,27.62
0.85,0.6133,0.4802,0.6333,0.919,0.332,0.601,0.623,0.7866,0.153,24.45
0.932,0.523,0.2773,0.3704,0.641,0.859,0.0806,0.1847,0.515,0.294,17.6
0.877,0.733,0.641,0.607,0.064,0.496,0.4016,0.1501,0.4348,0.7705,20.45
0.858,0.539,0.377,0.1627,0.7046,0.992,0.4937,0.876,0.4412,0.7935,29.33
0.6333,0.391,0.44,0.4746,0.12354,0.1578,0.624,0.772,0.1561,0.2052,16.22
0.3625,0.8623,0.8403,0.6543,0.356,0.481,0.0003839,0.5938,0.1849,0.1473,15.3
0.4268,0.7314,0.8877,0.903,0.4207,0.7144,0.0778,0.7393,0.516,0.304,22.97
0.716,0.598,0.8027,0.1055,0.8857,0.09216,0.5107,0.349,0.3894,0.8926,23.19
0.0947,0.741,0.24,0.4536,0.875,0.1858,0.03882,0.862,0.8647,0.76,27.03
0.2216,0.1259,0.0681,0.0005126,0.2837,0.1514,0.4004,0.802,0.6934,0.5674,20.83
0.7935,0.6484,0.764,0.4343,0.669,0.4858,0.967,0.9854,0.8867,0.06274,28.94
0.2256,0.116,0.6587,0.435,0.9775,0.1871,0.9097,0.0915,0.3208,0.795,23.4
0.4092,0.648,0.644,0.2908,0.3274,0.7583,0.5615,0.4373,0.6465,0.08466,20.27
0.979,0.1094,0.3455,0.4084,0.311,0.5513,0.2267,0.507,0.682,0.1919,18.12
0.955,0.4834,0.5884,0.789,0.2251,0.4631,0.5317,0.5737,0.05038,0.6455,20.66
0.4678,0.0802,0.274,0.6953,0.5786,0.698,0.85,0.6143,0.107,0.0728,19.44
0.6846,0.863,0.3699,0.9243,0.892,0.596,0.5957,0.0237,0.3733,0.6855,23.83
0.2296,0.4424,0.576,0.4036,0.646,0.6055,0.1499,0.681,0.152,0.978,24.11
0.2042,0.502,0.214,0.284,0.0851,0.7695,0.9243,0.2842,0.202,0.06287,15.69
0.5356,0.544,0.7344,0.936,0.0456,0.468,0.854,0.389,0.4111,0.1719,20.03
0.3372,0.3687,0.676,0.3208,0.7065,0.707,0.1006,0.32,0.248,0.139,15.125
0.03574,0.814,0.2224,0.1726,0.552,0.8467,0.1935,0.1715,0.8853,0.01166,17.77
0.1975,0.694,0.2094,0.615,0.8545,0.4326,0.6377,0.1909,0.3262,0.0561,16.81
0.517,0.558,0.9263,0.3647,0.1371,0.3054,0.556,0.2151,0.2374,0.988,21.22
0.3303,0.922,0.8154,0.436,0.8003,0.652,0.0486,0.699,0.2047,0.4429,21.12
0.7104,0.797,0.865,0.04745,0.3398,0.2145,0.3582,0.7876,0.921,0.495,24.6
0.998,0.937,0.434,0.7407,0.759,0.896,0.4897,0.0912,0.6084,0.9478,28.52
0.03683,0.1035,0.2625,0.010735,0.6914,0.1676,0.5083,0.1154,0.569,0.04388,13.07
0.2467,0.08826,0.6,0.5513,0.2825,0.624,0.9126,0.9277,0.682,0.2228,26.62
0.432,0.5234,0.963,0.8994,0.3457,0.4387,0.79,0.4092,0.981,0.74,30.84
0.6143,0.4136,0.1503,0.473,0.963,0.6514,0.4507,0.59,0.355,0.7812,25.94
0.2683,0.4094,0.1735,0.07404,0.9565,0.7964,0.6753,0.01358,0.1136,0.525,18.56
0.7725,0.08044,0.3323,0.7573,0.6177,0.10315,0.607,0.6016,0.582,0.519,23.19
0.7666,0.995,0.81,0.2993,0.4116,0.6387,0.668,0.777,0.685,0.208,25.16
0.7217,0.183,0.7554,0.3123,0.0825,0.5977,0.06186,0.3267,0.4014,0.946,20.33
0.7905,0.5786,0.3108,0.03122,0.3145,0.3718,0.4968,0.9355,0.996,0.4946,26.36
0.4607,0.5933,0.1316,0.3865,0.8247,0.969,0.187,0.406,0.2401,0.1122,17.06
0.0686,0.1412,0.729,0.5283,0.467,0.1884,0.0735,0.7627,0.2054,0.762,20.28
0.735,0.624,0.414,0.736,0.0964,0.0925,0.497,0.208,0.506,0.02786,13.24
0.683,0.956,0.8726,0.4094,0.571,0.1268,0.507,0.2625,0.1335,0.878,20.69
0.641,0.9526,0.03168,0.6953,0.844,0.1022,0.2054,0.4468,0.564,0.2559,18.17
0.691,0.2319,0.6816,0.4111,0.948,0.6753,0.4048,0.8594,0.354,0.812,28.58
0.4727,0.77,0.444,0.2255,0.4253,0.5894,0.4148,0.2913,0.2433,0.909,21.64
0.1254,0.1078,0.756,0.3855,0.4905,0.8584,0.762,0.933,0.386,0.4614,27.38
0.7603,0.853,0.709,0.963,0.985,0.637,0.02971,0.1714,0.5156,0.0706,18.42
0.9023,0.6597,0.4412,0.3882,0.7803,0.392,0.6396,0.607,0.01808,0.84,23.58
0.1384,0.678,0.845,0.1655,0.8384,0.533,0.796,0.7607,0.1426,0.06165,20.69
0.604,0.508,0.6187,0.3745,0.2181,0.2332,0.3142,0.1417,0.1681,0.2212,11.12
0.1009,0.3875,0.778,0.3206,0.4153,0.9575,0.6357,0.854,0.456,0.641,28.56
0.1735,0.1947,0.267,0.0684,0.868,0.9346,0.719,0.10474,0.7363,0.6025,25.44
0.3533,0.908,0.4788,0.5522,0.511,0.8955,0.548,0.0799,0.0895,0.4238,18.42
0.809,0.4355,0.73,0.7705,0.827,0.19,0.7017,0.703,0.5146,0.6143,27.25
0.2837,0.908,0.3374,0.952,0.1304,0.6753,0.563,0.578,0.4138,0.3188,21.94
0.5547,0.72,0.05408,0.2737,0.5366,0.516,0.3875,0.918,0.02608,0.964,24.02
0.9565,0.6074,0.3699,0.8276,0.8237,0.4485,0.7085,0.6577,0.688,0.286,26.3
0.6685,0.1694,0.2686,0.10724,0.127,0.98,0.9795,0.1255,0.973,0.9795,29.8
0.1853,0.5503,0.4492,0.351,0.835,0.2969,0.7075,0.4253,0.01327,0.7373,21.3
0.884,0.5166,0.12396,0.00127,0.5674,0.003897,0.9453,0.8315,0.4546,0.02162,18.38
0.8154,0.8774,0.767,0.823,0.322,0.9487,0.01472,0.08655,0.9736,0.4304,23.27
0.10297,0.07477,0.2612,0.08954,0.672,0.291,0.2131,0.452,0.9775,0.929,25.64
0.1299,0.1866,0.05856,0.1637,0.362,0.477,0.705,0.879,0.6445,0.2292,22.23
0.93,0.856,0.6045,0.0754,0.961,0.3728,0.2893,0.5806,0.502,0.6626,23.78
0.161,0.5557,0.5396,0.0413,0.6807,0.3464,0.421,0.874,0.524,0.9395,27.5
0.002857,0.634,0.0995,0.85,0.4045,0.2163,0.6436,0.8438,0.4824,0.2474,21.94
0.3577,0.681,0.02077,0.7227,0.787,0.833,0.5566,0.037,0.962,0.2595,23.83
0.806,0.568,0.1283,0.7954,0.01985,0.5205,0.9414,0.435,0.6,0.0321,19.67
0.427,0.3516,0.495,0.1697,0.3328,0.0428,0.974,0.995,0.4253,0.7466,26.33
0.6255,0.729,0.1646,0.963,0.7085,0.984,0.4043,0.968,0.2144,0.4397,26.58
0.585,0.03387,0.1458,0.155,0.10803,0.2659,0.799,0.6875,0.6387,0.7393,23.92
0.06113,0.9688,0.7705,0.749,0.014404,0.8584,0.073,0.2366,0.7124,0.4895,21.31
0.8975,0.7266,0.2112,0.527,0.788,0.767,0.2942,0.5117,0.2888,0.626,23.02
0.3352,0.5957,0.8184,0.7056,0.0738,0.639,0.4915,0.422,0.8867,0.7007,27.14
0.9595,0.5503,0.892,0.5527,0.2173,0.513,0.2096,0.9634,0.2847,0.708,24.08
